County,Rainfall_mm
Turkana,499.79436764061313
Marsabit,352.75109207031073
Mandera,318.56596930768154
Wajir,294.81131354272884
West Pokot,1246.1569810476567
Samburu,551.2969850138089
Isiolo,301.76149581160445
Baringo,1253.52305011509
Keiyo-Marakwet,1851.627165408003
Trans Nzoia,1830.214565650724
Bungoma,2178.794342760797
Garissa,423.1310050447579
Uasin Gishu,1726.1397992110649
Kakamega,2427.7428929131597
Laikipia,916.2206577006943
Busia,2076.7261368365057
Meru,1058.45275311252
Nandi,2160.9308197943915
Siaya,1652.9020463434526
Nakuru,1267.8937545802437
Vihiga,2441.958493791464
Nyandarua,1407.376671287021
Tharaka,1062.4463420409852
Kericho,1848.857447353901
Kisumu,1815.616685023086
Nyeri,1419.0118810532983
Tana River,423.5676683182993
Kitui,722.6441800714127
Kirinyaga,1306.0953525425173
Embu,1100.9076905465924
Homa Bay,1415.7795765732694
Bomet,1664.5678658373874
Nyamira,1830.5649154779364
Narok,1194.9553020207388
Kisii,1855.540001863518
Murang'a,1385.4668567102883
Migori,1305.2693899106343
Kiambu,1237.8319787500916
Machakos,1031.1717432197015
Kajiado,898.806858012582
Nairobi,1041.976642720584
Makueni,940.465211555562
Lamu,655.6782239028564
Kilifi,640.5344802841446
Taita Taveta,547.4349616972451
Kwale,764.2920479369412
Mombasa,816.5041764801482
