County,Temperature_C
Turkana,35.86
Marsabit,34.07
Mandera,33.73
Wajir,34.94
West Pokot,27.5
Samburu,30.61
Isiolo,34.84
Baringo,27.71
Keiyo-Marakwet,21.75
Trans Nzoia,24.0
Bungoma,23.89
Garissa,32.59
Uasin Gishu,23.47
Kakamega,25.17
Laikipia,26.4
Busia,26.5
Meru,26.59
Nandi,23.38
Siaya,26.01
Nakuru,23.24
Vihiga,24.45
Nyandarua,20.19
Tharaka,28.43
Kericho,23.27
Kisumu,26.77
Nyeri,20.21
Tana River,33.03
Kitui,30.6
Kirinyaga,23.48
Embu,26.59
Homa Bay,26.06
Bomet,22.49
Nyamira,22.8
Narok,24.77
Kisii,23.64
Murang'a,23.04
Migori,26.24
Kiambu,23.2
Machakos,27.51
Kajiado,29.47
Nairobi,26.07
Makueni,28.62
Lamu,27.88
Kilifi,30.21
Taita Taveta,30.12
Kwale,30.15
Mombasa,29.34
