latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
3.33963,38.92675,335.96,0.51,0.66,2026-07-18,1013,N,VIIRS,n,2.0NRT,291.34,3.66,D
-4.03532,36.05669,367,0.4,0.6,2026-07-18,1151,N,VIIRS,h,2.0NRT,297.62,12.66,D
-4.03493,36.05581,367,0.39,0.6,2026-07-18,1151,N,VIIRS,h,2.0NRT,298.14,11.35,D
-4.03405,36.06438,330.69,0.4,0.6,2026-07-18,1151,N,VIIRS,n,2.0NRT,293.5,10.91,D
-4.03343,36.0682,367,0.4,0.6,2026-07-18,1151,N,VIIRS,h,2.0NRT,296.25,12.46,D
-4.03294,36.06731,367,0.4,0.6,2026-07-18,1151,N,VIIRS,h,2.0NRT,295.15,7.8,D
-4.03229,36.0711,344.42,0.4,0.6,2026-07-18,1151,N,VIIRS,n,2.0NRT,296.48,7.8,D
-4.03138,35.46266,336.8,0.36,0.57,2026-07-18,1151,N,VIIRS,n,2.0NRT,293.5,4.53,D
-4.02983,36.05554,367,0.4,0.6,2026-07-18,1151,N,VIIRS,h,2.0NRT,296.75,14.23,D
-4.0296,35.46126,334.63,0.36,0.57,2026-07-18,1151,N,VIIRS,n,2.0NRT,293.19,3.45,D
-4.02944,36.05471,367,0.39,0.6,2026-07-18,1151,N,VIIRS,h,2.0NRT,293.84,11.35,D
-3.51888,34.86267,348.99,0.33,0.56,2026-07-18,1151,N,VIIRS,n,2.0NRT,304.59,4.95,D
-3.32572,34.73259,367,0.33,0.55,2026-07-18,1151,N,VIIRS,h,2.0NRT,304.73,6.64,D
-3.30027,35.36715,350.99,0.36,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,301.46,5.39,D
-3.29976,35.37022,351.65,0.36,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,299.43,5.39,D
-3.29687,35.36794,367,0.37,0.58,2026-07-18,1151,N,VIIRS,h,2.0NRT,300.08,10.04,D
-3.26677,35.2181,344.61,0.36,0.57,2026-07-18,1151,N,VIIRS,n,2.0NRT,305.19,2.8,D
-3.20778,34.52345,343.14,0.32,0.55,2026-07-18,1151,N,VIIRS,n,2.0NRT,301.32,2.67,D
-3.20731,34.52637,332.86,0.32,0.55,2026-07-18,1151,N,VIIRS,n,2.0NRT,298.69,2.67,D
-3.2068,34.52238,338.15,0.32,0.55,2026-07-18,1151,N,VIIRS,n,2.0NRT,301.02,2.82,D
-3.20631,34.52529,346.12,0.32,0.55,2026-07-18,1151,N,VIIRS,n,2.0NRT,301.42,5.63,D
-3.20227,34.5255,330.14,0.32,0.55,2026-07-18,1151,N,VIIRS,l,2.0NRT,304.57,2.67,D
-3.05355,34.46379,367,0.32,0.55,2026-07-18,1151,N,VIIRS,h,2.0NRT,310.21,21.86,D
-2.54251,34.43312,351.35,0.32,0.55,2026-07-18,1151,N,VIIRS,n,2.0NRT,307.1,7.95,D
-2.54204,34.43604,340.76,0.32,0.55,2026-07-18,1151,N,VIIRS,n,2.0NRT,305.82,8.62,D
-2.53044,34.44334,367,0.32,0.55,2026-07-18,1151,N,VIIRS,h,2.0NRT,307.21,28.05,D
-2.52949,34.44918,367,0.33,0.55,2026-07-18,1151,N,VIIRS,h,2.0NRT,306.04,98.19,D
-2.52583,34.43966,347.94,0.32,0.55,2026-07-18,1151,N,VIIRS,n,2.0NRT,297.12,2.76,D
-2.52535,34.44257,335.08,0.32,0.55,2026-07-18,1151,N,VIIRS,n,2.0NRT,301.15,2.76,D
-2.3519,35.16926,334.49,0.37,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,290.82,7.71,D
-2.34433,35.1817,337.76,0.37,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,295.74,4.15,D
-2.34222,35.17918,335.22,0.37,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,288.54,2.52,D
-2.34169,35.18251,330.84,0.37,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,290.19,5.58,D
-2.28026,35.05575,332.53,0.36,0.57,2026-07-18,1151,N,VIIRS,n,2.0NRT,298.07,3.15,D
-2.27438,35.05832,343.07,0.36,0.57,2026-07-18,1151,N,VIIRS,n,2.0NRT,301.4,3.9,D
-2.27064,35.05798,353.96,0.36,0.57,2026-07-18,1151,N,VIIRS,n,2.0NRT,298.43,7.04,D
-2.27011,35.06135,336.48,0.36,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,299.08,7.04,D
-2.26958,35.06468,345.8,0.36,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,299.41,6,D
-2.26906,35.06795,340.24,0.36,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,299.9,6,D
-2.26905,35.05758,339.89,0.36,0.57,2026-07-18,1151,N,VIIRS,n,2.0NRT,294.72,3.9,D
-2.26855,35.0712,347.21,0.36,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,299.5,6.68,D
-2.26849,35.06092,333.39,0.36,0.57,2026-07-18,1151,N,VIIRS,n,2.0NRT,297.42,3.9,D
-2.26803,35.07442,346.81,0.36,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,298.98,6.68,D
-2.26794,35.06424,343.61,0.36,0.57,2026-07-18,1151,N,VIIRS,n,2.0NRT,298.82,5.37,D
-2.26752,35.07763,343.81,0.36,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,297.07,5.7,D
-2.2674,35.0675,341.2,0.36,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,298.96,5.37,D
-2.26701,35.08087,345.2,0.36,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,298.84,5.7,D
-2.26685,35.07074,346.83,0.36,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,298.59,9.09,D
-2.26632,35.07396,367,0.36,0.58,2026-07-18,1151,N,VIIRS,h,2.0NRT,299.37,9.09,D
-2.26578,35.07716,352.88,0.36,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,295.93,9.18,D
-2.26525,35.08039,367,0.36,0.58,2026-07-18,1151,N,VIIRS,h,2.0NRT,298.92,9.18,D
-2.2627,35.07367,355.5,0.36,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,295.47,6.58,D
-2.26167,35.08012,367,0.36,0.58,2026-07-18,1151,N,VIIRS,h,2.0NRT,298.58,15.08,D
-2.25991,35.07964,348.47,0.36,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,297.1,6.23,D
-2.25581,35.08262,367,0.36,0.58,2026-07-18,1151,N,VIIRS,h,2.0NRT,300.58,9.15,D
-2.25529,35.0859,330.94,0.36,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,294.07,9.15,D
-2.25402,35.08216,367,0.36,0.58,2026-07-18,1151,N,VIIRS,h,2.0NRT,299.34,9.31,D
-2.25347,35.08543,334.98,0.36,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,295.87,9.31,D
-2.24994,35.08514,333.66,0.36,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,296.64,4.49,D
-2.24677,35.10499,336.33,0.36,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,299.26,8.68,D
-2.24459,35.08443,339.63,0.36,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,295.9,4.49,D
-2.24407,35.08768,352.25,0.36,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,297.41,8.53,D
-2.24354,35.09099,353.46,0.36,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,297.25,8.53,D
-2.24301,35.09431,345.76,0.36,0.58,2026-07-18,1151,N,VIIRS,n,2.0NRT,296.42,9.45,D
-2.00746,33.57019,354.05,0.58,0.52,2026-07-18,1151,N,VIIRS,n,2.0NRT,296.45,19.36,D
-2.00263,33.56945,367,0.58,0.52,2026-07-18,1151,N,VIIRS,h,2.0NRT,296.66,33.54,D
-1.68245,34.84829,341.96,0.36,0.57,2026-07-18,1151,N,VIIRS,n,2.0NRT,295.2,3.85,D
-1.68194,34.85143,338.01,0.36,0.57,2026-07-18,1151,N,VIIRS,n,2.0NRT,296.3,6.26,D
-1.68142,34.85459,341.12,0.36,0.57,2026-07-18,1151,N,VIIRS,n,2.0NRT,296.11,6.26,D
-1.6809,34.8578,353.27,0.36,0.57,2026-07-18,1151,N,VIIRS,n,2.0NRT,299.13,17.17,D
-1.68037,34.86103,367,0.36,0.57,2026-07-18,1151,N,VIIRS,h,2.0NRT,292.39,17.17,D
-1.67664,34.85062,340.09,0.36,0.57,2026-07-18,1151,N,VIIRS,n,2.0NRT,296.75,4.63,D
-1.47328,34.38245,342.63,0.33,0.56,2026-07-18,1151,N,VIIRS,n,2.0NRT,295.14,5.17,D
-1.4728,34.38548,350.11,0.33,0.56,2026-07-18,1151,N,VIIRS,n,2.0NRT,295.32,5.17,D
-1.47201,34.35743,356.58,0.33,0.56,2026-07-18,1151,N,VIIRS,n,2.0NRT,296.28,4.45,D
-1.46814,34.38166,332.67,0.33,0.56,2026-07-18,1151,N,VIIRS,n,2.0NRT,293.91,5.17,D
-1.46765,34.3847,367,0.33,0.56,2026-07-18,1151,N,VIIRS,h,2.0NRT,295.58,5.17,D
0.47341,36.25839,346.09,0.48,0.65,2026-07-18,1151,N,VIIRS,n,2.0NRT,293.71,7.55,D
0.47561,36.25483,330.12,0.48,0.65,2026-07-18,1151,N,VIIRS,n,2.0NRT,293.45,4.77,D
0.47616,36.25847,338.42,0.48,0.65,2026-07-18,1151,N,VIIRS,n,2.0NRT,292.99,5.59,D
0.79284,35.53613,336.28,0.44,0.62,2026-07-18,1151,N,VIIRS,n,2.0NRT,296.22,2.9,D
